id,title,year,concepts,referenced_works,primary_topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2117539524,ImageNet Large Scale Visual Recognition Challenge,2015,"['Benchmark (surveying)', 'Artificial intelligence', 'Computer science', 'Categorical variable', 'Cognitive neuroscience of visual object recognition', 'Scale (ratio)', 'Object (grammar)', 'Object detection', 'Field (mathematics)', 'Pattern recognition (psychology)', 'Machine learning', '3D single-object recognition', 'Annotation', 'Computer vision', 'Geography', 'Cartography', 'Mathematics', 'Pure mathematics']","['W128019999', 'W1487583988', 'W1499991161', 'W1503233963', 'W1506491340', 'W1551774182', 'W1563795667', 'W1566135517', 'W1574719918', 'W1576445103', 'W1606858007', 'W1686810756', 'W1709548961', 'W1782590233', 'W1832500336', 'W1861492603', 'W1904365287', 'W1970183457', 'W1972515067', 'W1979931042', 'W1991367009', 'W1994213117', 'W2001531180', 'W2017814585', 'W2018006179', 'W2027922120', 'W2031342017', 'W2031489346', 'W2032982774', 'W2037227137', 'W2048335335', 'W2052650456', 'W2053229256', 'W2055302526', 'W2066624635', 'W2081580037', 'W2088049833', 'W2091845343', 'W2097018403', 'W2102605133', 'W2106255337', 'W2106471914', 'W2107034620', 'W2108598243', 'W2109370419', 'W2110158442', 'W2110226160', 'W2110764733', 'W2115579991', 'W2119424690', 'W2121660792', 'W2122146326', 'W2123024445', 'W2125943921', 'W2127242687', 'W2127279985', 'W2128154306', 'W2129305389', 'W2134670479', 'W2135166986', 'W2135957164', 'W2136949195', 'W2137680370', 'W2141125852', 'W2141200610', 'W2143246460', 'W2143890915', 'W2145607950', 'W2147238549', 'W2149273804', 'W2149489787', 'W2151103935', 'W2155893237', 'W2155904486', 'W2156547346', 'W2158305599', 'W2160218441', 'W2162762921', 'W2162915993', 'W2163605009', 'W2163808566', 'W2165146474', 'W2168356304', 'W2179352600', 'W2407718913', 'W2536208356', 'W2605991684', 'W2950179405', 'W2950577311', 'W2952186574', 'W2953360861', 'W2963173190', 'W2963911037', 'W3098722327', 'W4240153047', 'W4919037', 'W70846133', 'W825525975']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2618530766,ImageNet classification with deep convolutional neural networks,2017,"['Softmax function', 'Computer science', 'Overfitting', 'Convolutional neural network', 'Pooling', 'Dropout (neural networks)', 'Artificial intelligence', 'Pattern recognition (psychology)', 'Regularization (linguistics)', 'Convolution (computer science)', 'Deep neural networks', 'Word error rate', 'Deep learning', 'Artificial neural network', 'Machine learning']","['W1499991161', 'W1573503290', 'W1576445103', 'W1665214252', 'W1904365287', 'W1994530392', 'W2015861736', 'W2018435387', 'W2026942141', 'W2053229256', 'W2061212083', 'W2097117768', 'W2097356275', 'W2101926813', 'W2108069432', 'W2108598243', 'W2110764733', 'W2130325614', 'W2134557905', 'W2141125852', 'W2144161366', 'W2154579312', 'W2156163116', 'W2166049352', 'W2169805405', 'W2194775991', 'W2396976214', 'W2546302380', 'W2565808444', 'W2766736793', 'W2911964244', 'W3118608800', 'W3121926921', 'W4205241946']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2146512944,limma powers differential expression analyses for RNA-sequencing and microarray studies,2015,"['Biology', 'Bioconductor', 'Computational biology', 'DNA microarray', 'Microarray analysis techniques', 'Gene chip analysis', 'Expression (computer science)', 'Data mining', 'Gene expression', 'Genetics', 'Gene', 'Computer science', 'Programming language']","['W1520411860', 'W1524671351', 'W1533335653', 'W1546952499', 'W1570746489', 'W1591275079', 'W1593470657', 'W1649167417', 'W1779730050', 'W1789015559', 'W1911245058', 'W1963480915', 'W1978103519', 'W1978326072', 'W1983607152', 'W1987167495', 'W1988541647', 'W1991091089', 'W1992451590', 'W1999574084', 'W2002134496', 'W2010457001', 'W2013444425', 'W2015795623', 'W2023784669', 'W2024425375', 'W2024748060', 'W2027455260', 'W2044158404', 'W2046417042', 'W2052565759', 'W2056696298', 'W2058320302', 'W206290877', 'W2064397275', 'W2065311047', 'W2068703118', 'W2070494252', 'W2071650644', 'W2072857774', 'W2081098333', 'W2084533385', 'W2095900642', 'W2100668965', 'W2101163066', 'W2103017472', 'W2106840507', 'W2107018762', 'W2107060225', 'W2107706017', 'W2110065044', 'W2110905563', 'W2112220625', 'W2114104545', 'W2117963341', 'W2118373398', 'W2120865735', 'W2123106337', 'W2124681904', 'W2125037436', 'W2126398084', 'W2130410032', 'W2134526812', 'W2134736660', 'W2135891958', 'W2137162822', 'W2137526110', 'W2138207763', 'W2138937646', 'W2140774750', 'W2140932047', 'W2141407136', 'W2142415307', 'W2143303281', 'W2152147743', 'W2153583721', 'W2158226173', 'W2158378675', 'W2160697532', 'W2160779973', 'W2164216268', 'W2170219300', 'W2582743722', 'W2611736676', 'W2911935186', 'W2927772609', 'W4285719527', 'W612420418', 'W641275596']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2799524357,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,2018,"['Mega-', 'Emulation', 'Biology', 'Software', 'Virtualization', 'Phylogenomics', 'Operating system', 'OS X', 'Computer science', 'Computational biology', 'Phylogenetic tree', 'Genetics', 'Cloud computing', 'Clade', 'Physics', 'Astronomy', 'Economics', 'Gene', 'Economic growth']","['W2097403532', 'W2121552166', 'W2156434383', 'W2311203695']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1903029394,Fully convolutional networks for semantic segmentation,2015,"['Computer science', 'Artificial intelligence', 'Segmentation', 'Convolutional neural network', 'Pattern recognition (psychology)', 'Inference', 'Pixel', 'Pascal (unit)', 'Programming language']","['W125693051', 'W1507506748', 'W1542723449', 'W1546771929', 'W1565402342', 'W1663973292', 'W1686810756', 'W1842610785', 'W1849277567', 'W1923115158', 'W1948751323', 'W1984757472', 'W2022508996', 'W2037227137', 'W2067912884', 'W2090518410', 'W2092985495', 'W2097117768', 'W2100921332', 'W2102605133', 'W2115755118', 'W2125215748', 'W2128237624', 'W2136391815', 'W2137278143', 'W2144794286', 'W2147800946', 'W2154644822', 'W2154815154', 'W2155541015', 'W2155893237', 'W2158778629', 'W2163605009', 'W2166559794', 'W2167510172', 'W2171740948', 'W2179352600', 'W2186094539', 'W2594639291', 'W2914484425', 'W2950179405', 'W2951234442', 'W2952422028', 'W2962835968', 'W2963542991', 'W4238404964', 'W4294375521', 'W4919037', 'W56385144', 'W78159342']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2963341956,,2019,"['Computer science', 'Computational linguistics', 'Linguistics', 'Library science', 'Artificial intelligence', 'Philosophy']","['W131533222', 'W1486649854', 'W1566289585', 'W1599016936', 'W1840435438', 'W2025768430', 'W2108598243', 'W2117130368', 'W2121227244', 'W2130903752', 'W2131462252', 'W2131744502', 'W2144578941', 'W2149933564', 'W2153579005', 'W2158108973', 'W2158139315', 'W2170973209', 'W2250539671', 'W2251939518', 'W2270070752', 'W2396767181', 'W2413794162', 'W2462831000', 'W2507974895', 'W2551396370', 'W2610858497', 'W2784823820', 'W2880875857', 'W2888329843', 'W2891602716', 'W2897076808', 'W2951714314', 'W2962718483', 'W2962739339', 'W2962808855', 'W2963026768', 'W2963088785', 'W2963159690', 'W2963339397', 'W2963403868', 'W2963563735', 'W2963564796', 'W2963644595', 'W2963748441', 'W2963756346', 'W2963804993', 'W2963846996', 'W2963918774', 'W2978670439', 'W3098057198', 'W3104033643']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W3106250896,SSD: Single Shot MultiBox Detector,2016,"['Computer science', 'Shot (pellet)', 'Detector', 'Single shot', 'One shot', 'Optics', 'Physics', 'Telecommunications', 'Materials science', 'Mechanical engineering', 'Metallurgy', 'Engineering']","['W1533861849', 'W1536680647', 'W1594098193', 'W1610060839', 'W1686810756', 'W1709548961', 'W1817277359', 'W1832500336', 'W1899185266', 'W1903029394', 'W1923697677', 'W1948751323', 'W2031489346', 'W2068730032', 'W2081293863', 'W2088049833', 'W2097117768', 'W2102605133', 'W2117539524', 'W2120419212', 'W2146502635', 'W2155893237', 'W2163605009', 'W2179352600', 'W2183341477', 'W2194775991', 'W2288122362', 'W2497039038', 'W2613718673', 'W2949117887', 'W2949194345', 'W2950094539', 'W2950179405', 'W2962835968', 'W2963037989', 'W2963542991', 'W2963996492', 'W3098722327', 'W4251033893', 'W4308909683', 'W639708223']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2183341477,Rethinking the Inception Architecture for Computer Vision,2016,"['Computer science', 'Benchmark (surveying)', 'Inference', 'Computation', 'Artificial intelligence', 'Machine learning', 'Set (abstract data type)', 'Convolutional neural network', 'Test set', 'Computational complexity theory', 'Regularization (linguistics)', 'Benchmarking', 'Computer engineering', 'Algorithm', 'Geodesy', 'Programming language', 'Geography', 'Marketing', 'Business']","['W104184427', 'W1677182931', 'W1686810756', 'W1815076433', 'W1836465849', 'W1903029394', 'W1944396096', 'W2016053056', 'W2068730032', 'W2096733369', 'W2097117768', 'W2102605133', 'W2111979893', 'W2113325037', 'W2117539524', 'W2118097920', 'W2163605009', 'W2168894214', 'W2172166488', 'W2172654076', 'W3099206234', 'W54257720']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2401404581,DADA2: High-resolution sample inference from Illumina amplicon data,2016,"['Amplicon', 'Computational biology', 'Biology', 'Sample (material)', 'Computer science', 'Genetics', 'Polymerase chain reaction', 'Gene', 'Chemistry', 'Chromatography']","['W1565875270', 'W1624769014', 'W1973207456', 'W1983047294', 'W1987816906', 'W1991486768', 'W2013371150', 'W2072970694', 'W2073548709', 'W2079520182', 'W2084791457', 'W2088833470', 'W2098234692', 'W2105368763', 'W2106308757', 'W2108718991', 'W2117457769', 'W2124608356', 'W2128769815', 'W2136879569', 'W2162667876', 'W2164762627', 'W2166171121']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,2018,"['Checklist', 'Systematic review', 'Terminology', 'Medicine', 'Guideline', 'Health care', 'Quality (philosophy)', 'Medical education', 'MEDLINE', 'Management science', 'Knowledge management', 'Process management', 'Psychology', 'Computer science', 'Engineering', 'Linguistics', 'Philosophy', 'Epistemology', 'Pathology', 'Political science', 'Law', 'Economics', 'Cognitive psychology', 'Economic growth']","['W1572319397', 'W179517975', 'W1911361640', 'W1965875998', 'W2002933873', 'W2012107441', 'W2013134958', 'W2045153381', 'W2072019641', 'W2075950485', 'W2084154288', 'W2091538045', 'W2093038967', 'W2105321265', 'W2107638293', 'W2112145696', 'W2114832664', 'W2139989820', 'W2144873669', 'W2152062489', 'W2156098321', 'W2192816303', 'W2253148421', 'W2261406464', 'W2299177375', 'W2501240337', 'W2559690575', 'W2562241822', 'W2574028069', 'W2604925503', 'W2734874570', 'W2750634401', 'W2752395180', 'W2755185356', 'W2768738777', 'W2769378808', 'W2790437056', 'W2801546261']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2051978340,Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology,2015,"['Medical genetics', 'Workgroup', 'Exome sequencing', 'Context (archaeology)', 'Exome', 'Genomics', 'Genetic testing', 'Genetics', 'Whole genome sequencing', 'Genetic association', 'Computational biology', 'Biology', 'Bioinformatics', 'Genome', 'Computer science', 'Single-nucleotide polymorphism', 'Gene', 'Genotype', 'Mutation', 'Computer network', 'Paleontology']","['W1574587481', 'W1975196485', 'W1976579581', 'W1980740976', 'W1984576497', 'W1990725675', 'W1991633140', 'W2003574027', 'W2003873813', 'W2005581687', 'W2011094690', 'W2012524404', 'W2013639985', 'W2015060037', 'W2039878336', 'W2053268105', 'W2057152418', 'W2059145105', 'W2061059665', 'W2062252189', 'W2063714349', 'W2076357933', 'W2078781148', 'W2083022629', 'W2084985708', 'W2089335658', 'W2098746581', 'W2099101325', 'W2099610622', 'W2101359494', 'W2109378245', 'W2111668248', 'W2112245868', 'W2114929889', 'W2123320071', 'W2124277514', 'W2129561104', 'W2138020005', 'W2156508926', 'W2160995259', 'W2169567789', 'W2171552854', 'W2187181884', 'W2230490066', 'W2337925307', 'W2413261672', 'W3022429610', 'W4210774750', 'W82756614']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2145339207,Human-level control through deep reinforcement learning,2015,"['Reinforcement learning', 'Computer science', 'Artificial intelligence', 'Variety (cybernetics)', 'Deep learning', 'Control (management)', 'Perception', 'Human–computer interaction', 'Machine learning', 'Biology', 'Neuroscience']","['W1512866498', 'W1557517019', 'W1595483645', 'W1624854622', 'W1665214252', 'W166862392', 'W1964166698', 'W1984578972', 'W2001898186', 'W2040414277', 'W2047057213', 'W2048226872', 'W2072128103', 'W2096698697', 'W2099587183', 'W2100495367', 'W2101355568', 'W2101493843', 'W2101926813', 'W2112796928', 'W2117726420', 'W2121863487', 'W2127412976', 'W2131600418', 'W2137172397', 'W2139418546', 'W2150468603', 'W2154997814', 'W2163605009', 'W2168359464', 'W2187089797', 'W2546302380', 'W2787259794', 'W3103780890', 'W3127231893', 'W3207342693', 'W4214717370', 'W4231109964']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2963150697,Mask R-CNN,2017,"['Computer science', 'Minimum bounding box', 'Segmentation', 'Artificial intelligence', 'Object detection', 'Bounding overwatch', 'Overhead (engineering)', 'Object (grammar)', 'Task (project management)', 'Code (set theory)', 'Simple (philosophy)', 'Suite', 'Pattern recognition (psychology)', 'Computer vision', 'Image (mathematics)', 'Image segmentation', 'Set (abstract data type)', 'Philosophy', 'Management', 'Epistemology', 'Archaeology', 'Economics', 'History', 'Programming language', 'Operating system']","['W1507506748', 'W1536680647', 'W1665214252', 'W1861492603', 'W1903029394', 'W1923115158', 'W1948751323', 'W1958328135', 'W1960289438', 'W1991367009', 'W2080873731', 'W2088049833', 'W2102605133', 'W2147800946', 'W2163605009', 'W2179352600', 'W2194775991', 'W2216125271', 'W2274287116', 'W2288122362', 'W2317851288', 'W2322480645', 'W2407521645', 'W2549139847', 'W2555182955', 'W2557728737', 'W2559085405', 'W2565639579', 'W2572745118', 'W2578797046', 'W2613718673', 'W2950800384', 'W2963516811', 'W2964304707', 'W2964350391', 'W603908379', 'W639708223', 'W809122546']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W4254687493,ggplot2,2016,"['Computer science', 'Computer graphics (images)', 'Visualization', 'Compatibility (geochemistry)', 'Graph', 'Artificial intelligence', 'Theoretical computer science', 'Engineering', 'Chemical engineering']",[],Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
